t,v,phase
0,0.00,bag 1
1,0.00,bag 1
2,0.00,bag 1
3,0.00,bag 1
4,0.00,bag 1
5,0.00,bag 1
6,0.00,bag 1
7,0.00,bag 1
8,0.00,bag 1
9,0.00,bag 1
10,0.00,bag 1
11,0.00,bag 1
12,0.00,bag 1
13,0.00,bag 1
14,0.00,bag 1
15,0.00,bag 1
16,0.00,bag 1
17,0.00,bag 1
18,0.00,bag 1
19,0.00,bag 1
20,0.00,bag 1
21,1.34,bag 1
22,2.64,bag 1
23,3.84,bag 1
24,5.14,bag 1
25,6.39,bag 1
26,7.56,bag 1
27,7.73,bag 1
28,8.09,bag 1
29,9.25,bag 1
30,9.70,bag 1
31,10.01,bag 1
32,10.06,bag 1
33,9.88,bag 1
34,9.61,bag 1
35,9.34,bag 1
36,9.12,bag 1
37,8.85,bag 1
38,7.60,bag 1
39,6.66,bag 1
40,6.66,bag 1
41,6.79,bag 1
42,6.93,bag 1
43,7.15,bag 1
44,7.64,bag 1
45,8.54,bag 1
46,9.43,bag 1
47,10.15,bag 1
48,10.24,bag 1
49,10.15,bag 1
50,10.10,bag 1
51,9.52,bag 1
52,8.49,bag 1
53,7.64,bag 1
54,7.06,bag 1
55,7.06,bag 1
56,7.91,bag 1
57,8.85,bag 1
58,9.66,bag 1
59,10.37,bag 1
60,10.82,bag 1
61,11.00,bag 1
62,11.13,bag 1
63,11.18,bag 1
64,11.00,bag 1
65,10.95,bag 1
66,11.04,bag 1
67,11.09,bag 1
68,11.04,bag 1
69,11.00,bag 1
70,11.00,bag 1
71,11.22,bag 1
72,11.44,bag 1
73,11.49,bag 1
74,11.36,bag 1
75,11.13,bag 1
76,11.18,bag 1
77,11.36,bag 1
78,11.62,bag 1
79,11.62,bag 1
80,11.49,bag 1
81,11.67,bag 1
82,11.94,bag 1
83,12.29,bag 1
84,12.79,bag 1
85,13.10,bag 1
86,13.32,bag 1
87,13.46,bag 1
88,13.59,bag 1
89,13.73,bag 1
90,13.73,bag 1
91,13.63,bag 1
92,13.59,bag 1
93,13.54,bag 1
94,13.59,bag 1
95,13.77,bag 1
96,13.59,bag 1
97,13.37,bag 1
98,13.19,bag 1
99,13.32,bag 1
100,13.54,bag 1
101,13.73,bag 1
102,13.81,bag 1
103,13.86,bag 1
104,13.81,bag 1
105,13.59,bag 1
106,13.32,bag 1
107,13.37,bag 1
108,13.50,bag 1
109,13.73,bag 1
110,13.95,bag 1
111,14.22,bag 1
112,14.39,bag 1
113,14.48,bag 1
114,14.39,bag 1
