t,v,phase
0,0.00,HWFET
1,0.00,HWFET
2,0.00,HWFET
3,0.89,HWFET
4,2.19,HWFET
5,3.62,HWFET
6,5.05,HWFET
7,6.48,HWFET
8,7.73,HWFET
9,8.76,HWFET
10,9.75,HWFET
11,10.73,HWFET
12,11.53,HWFET
13,12.11,HWFET
14,12.52,HWFET
15,12.96,HWFET
16,13.41,HWFET
17,13.72,HWFET
18,14.08,HWFET
19,14.39,HWFET
20,14.71,HWFET
21,14.98,HWFET
22,15.24,HWFET
23,15.47,HWFET
24,15.60,HWFET
25,15.69,HWFET
26,15.96,HWFET
27,16.05,HWFET
28,16.00,HWFET
29,15.78,HWFET
30,15.60,HWFET
31,15.42,HWFET
32,15.47,HWFET
33,15.56,HWFET
34,15.69,HWFET
35,15.96,HWFET
36,16.14,HWFET
37,16.18,HWFET
38,16.32,HWFET
39,16.41,HWFET
40,16.50,HWFET
41,16.54,HWFET
42,16.54,HWFET
43,16.54,HWFET
44,16.54,HWFET
45,16.54,HWFET
46,16.54,HWFET
47,16.59,HWFET
48,16.67,HWFET
49,16.90,HWFET
50,17.26,HWFET
51,17.57,HWFET
52,17.88,HWFET
53,18.19,HWFET
54,18.51,HWFET
55,18.87,HWFET
56,19.18,HWFET
57,19.45,HWFET
58,19.67,HWFET
59,19.80,HWFET
60,19.89,HWFET
61,20.03,HWFET
62,20.07,HWFET
63,20.12,HWFET
64,20.16,HWFET
65,20.30,HWFET
66,20.43,HWFET
67,20.56,HWFET
68,20.70,HWFET
69,20.79,HWFET
70,20.92,HWFET
71,20.97,HWFET
72,21.01,HWFET
73,21.06,HWFET
74,21.10,HWFET
75,21.14,HWFET
76,21.10,HWFET
77,21.06,HWFET
78,21.01,HWFET
79,20.97,HWFET
80,20.97,HWFET
81,20.97,HWFET
82,21.01,HWFET
83,21.06,HWFET
84,21.06,HWFET
85,21.10,HWFET
86,21.06,HWFET
87,21.01,HWFET
88,20.97,HWFET
89,20.79,HWFET
90,20.70,HWFET
91,20.65,HWFET
92,20.70,HWFET
93,20.79,HWFET
94,20.97,HWFET
95,21.06,HWFET
96,21.19,HWFET
97,21.32,HWFET
98,21.46,HWFET
99,21.55,HWFET
100,21.68,HWFET
101,21.82,HWFET
102,21.95,HWFET
103,21.99,HWFET
104,21.95,HWFET
105,21.95,HWFET
106,21.90,HWFET
107,21.90,HWFET
108,21.95,HWFET
109,21.99,HWFET
110,22.04,HWFET
111,22.08,HWFET
112,22.13,HWFET
113,22.13,HWFET
114,22.13,HWFET
115,22.08,HWFET
116,21.95,HWFET
117,21.86,HWFET
118,21.73,HWFET
119,21.64,HWFET
120,21.50,HWFET
121,21.32,HWFET
122,21.19,HWFET
123,21.14,HWFET
124,21.23,HWFET
125,21.37,HWFET
126,21.41,HWFET
127,21.46,HWFET
128,21.41,HWFET
129,21.41,HWFET
130,21.41,HWFET
131,21.46,HWFET
132,21.46,HWFET
133,21.46,HWFET
134,21.41,HWFET
135,21.14,HWFET
136,20.56,HWFET
137,19.36,HWFET
138,18.42,HWFET
139,17.66,HWFET
140,17.52,HWFET
141,17.43,HWFET
142,17.43,HWFET
143,17.48,HWFET
144,17.66,HWFET
145,17.93,HWFET
146,18.33,HWFET
147,18.78,HWFET
148,19.27,HWFET
149,19.54,HWFET
150,19.71,HWFET
151,19.80,HWFET
152,19.85,HWFET
153,19.94,HWFET
154,19.98,HWFET
155,20.07,HWFET
156,20.21,HWFET
157,20.43,HWFET
158,20.52,HWFET
159,20.70,HWFET
160,20.92,HWFET
161,20.97,HWFET
162,21.01,HWFET
163,21.06,HWFET
164,21.28,HWFET
165,21.41,HWFET
166,21.46,HWFET
167,21.46,HWFET
168,21.41,HWFET
169,21.37,HWFET
170,21.14,HWFET
171,20.88,HWFET
172,20.65,HWFET
173,20.52,HWFET
174,20.43,HWFET
175,20.34,HWFET
176,20.30,HWFET
177,20.25,HWFET
178,20.12,HWFET
179,19.67,HWFET
180,19.27,HWFET
181,18.87,HWFET
182,18.55,HWFET
183,18.55,HWFET
184,18.82,HWFET
185,19.18,HWFET
186,19.45,HWFET
187,19.63,HWFET
188,19.49,HWFET
189,19.36,HWFET
190,19.22,HWFET
191,19.27,HWFET
192,19.40,HWFET
193,19.63,HWFET
194,19.80,HWFET
195,19.94,HWFET
196,20.07,HWFET
197,20.03,HWFET
198,19.85,HWFET
199,19.63,HWFET
200,19.40,HWFET
201,19.31,HWFET
202,19.31,HWFET
203,19.27,HWFET
204,19.22,HWFET
205,19.22,HWFET
206,19.27,HWFET
207,19.40,HWFET
208,19.63,HWFET
209,19.67,HWFET
210,19.45,HWFET
211,19.04,HWFET
212,18.55,HWFET
213,18.19,HWFET
214,17.88,HWFET
215,17.88,HWFET
216,18.02,HWFET
217,18.33,HWFET
218,18.78,HWFET
219,19.09,HWFET
220,19.27,HWFET
221,19.31,HWFET
222,19.40,HWFET
223,19.63,HWFET
224,19.80,HWFET
225,19.98,HWFET
226,20.16,HWFET
227,20.30,HWFET
228,20.47,HWFET
229,20.79,HWFET
230,20.97,HWFET
231,21.10,HWFET
232,21.19,HWFET
233,21.14,HWFET
234,21.14,HWFET
235,21.10,HWFET
236,21.10,HWFET
237,21.10,HWFET
238,21.06,HWFET
239,21.01,HWFET
240,21.01,HWFET
241,20.97,HWFET
242,20.92,HWFET
243,20.97,HWFET
244,21.01,HWFET
245,21.10,HWFET
246,21.23,HWFET
247,21.41,HWFET
248,21.46,HWFET
249,21.46,HWFET
250,21.46,HWFET
251,21.46,HWFET
252,21.46,HWFET
253,21.50,HWFET
254,21.55,HWFET
255,21.55,HWFET
256,21.50,HWFET
257,21.73,HWFET
258,21.86,HWFET
259,21.95,HWFET
260,21.95,HWFET
261,21.95,HWFET
262,21.95,HWFET
263,21.95,HWFET
264,21.90,HWFET
265,21.86,HWFET
266,21.55,HWFET
267,21.32,HWFET
268,21.23,HWFET
269,21.10,HWFET
270,20.88,HWFET
271,20.65,HWFET
272,20.56,HWFET
273,20.47,HWFET
274,20.39,HWFET
275,20.30,HWFET
276,20.21,HWFET
277,20.12,HWFET
278,19.98,HWFET
279,19.89,HWFET
280,19.76,HWFET
281,19.45,HWFET
282,19.13,HWFET
283,18.78,HWFET
284,17.93,HWFET
285,17.26,HWFET
286,16.76,HWFET
287,16.00,HWFET
288,15.51,HWFET
289,15.20,HWFET
290,14.89,HWFET
291,14.53,HWFET
292,14.17,HWFET
293,13.68,HWFET
294,13.23,HWFET
295,12.87,HWFET
296,12.70,HWFET
297,12.79,HWFET
298,13.19,HWFET
299,14.04,HWFET
300,14.93,HWFET
301,15.91,HWFET
302,16.76,HWFET
303,17.48,HWFET
304,17.97,HWFET
305,18.37,HWFET
306,18.69,HWFET
307,18.95,HWFET
308,19.13,HWFET
309,19.36,HWFET
310,19.58,HWFET
311,19.80,HWFET
312,19.98,HWFET
313,20.12,HWFET
314,20.21,HWFET
315,20.30,HWFET
316,20.34,HWFET
317,20.47,HWFET
318,20.56,HWFET
319,20.61,HWFET
320,20.79,HWFET
321,20.92,HWFET
322,21.06,HWFET
323,21.32,HWFET
324,21.59,HWFET
325,21.90,HWFET
326,22.22,HWFET
327,22.49,HWFET
328,22.80,HWFET
329,23.11,HWFET
330,23.42,HWFET
331,23.74,HWFET
332,24.05,HWFET
333,24.36,HWFET
334,24.68,HWFET
335,24.94,HWFET
336,25.21,HWFET
337,25.44,HWFET
338,25.48,HWFET
339,25.53,HWFET
340,25.62,HWFET
341,25.75,HWFET
342,25.84,HWFET
343,25.93,HWFET
344,25.97,HWFET
345,26.11,HWFET
346,26.24,HWFET
347,26.29,HWFET
348,26.33,HWFET
349,26.38,HWFET
350,26.38,HWFET
351,26.33,HWFET
352,26.29,HWFET
353,26.20,HWFET
354,26.11,HWFET
355,26.02,HWFET
356,25.97,HWFET
357,25.93,HWFET
358,25.88,HWFET
359,25.75,HWFET
360,25.66,HWFET
361,25.57,HWFET
362,25.53,HWFET
363,25.48,HWFET
364,25.48,HWFET
365,25.44,HWFET
366,25.44,HWFET
367,25.44,HWFET
368,25.48,HWFET
369,25.48,HWFET
370,25.48,HWFET
371,25.48,HWFET
372,25.48,HWFET
373,25.48,HWFET
374,25.48,HWFET
375,25.48,HWFET
376,25.48,HWFET
377,25.44,HWFET
378,25.39,HWFET
379,25.26,HWFET
380,25.12,HWFET
381,25.03,HWFET
382,25.03,HWFET
383,25.03,HWFET
384,25.08,HWFET
385,25.21,HWFET
386,25.35,HWFET
387,25.44,HWFET
388,25.53,HWFET
389,25.62,HWFET
390,25.66,HWFET
391,25.66,HWFET
392,25.57,HWFET
393,25.48,HWFET
394,25.44,HWFET
395,25.30,HWFET
396,25.17,HWFET
397,25.08,HWFET
398,25.21,HWFET
399,25.35,HWFET
400,25.53,HWFET
401,25.70,HWFET
402,25.84,HWFET
403,25.93,HWFET
404,25.93,HWFET
405,25.93,HWFET
406,25.93,HWFET
407,25.93,HWFET
408,25.93,HWFET
409,25.88,HWFET
410,25.84,HWFET
411,25.79,HWFET
412,25.79,HWFET
413,25.84,HWFET
414,25.88,HWFET
415,25.93,HWFET
416,25.97,HWFET
417,26.11,HWFET
418,26.33,HWFET
419,26.42,HWFET
420,26.55,HWFET
421,26.73,HWFET
422,26.78,HWFET
423,26.78,HWFET
424,26.73,HWFET
425,26.64,HWFET
426,26.55,HWFET
427,26.46,HWFET
428,26.42,HWFET
429,26.38,HWFET
430,26.33,HWFET
431,26.24,HWFET
432,26.20,HWFET
433,26.15,HWFET
434,26.11,HWFET
435,26.11,HWFET
436,26.06,HWFET
437,26.02,HWFET
438,25.97,HWFET
439,25.93,HWFET
440,25.88,HWFET
441,25.88,HWFET
442,25.88,HWFET
443,25.88,HWFET
444,25.88,HWFET
445,25.93,HWFET
446,25.97,HWFET
447,25.97,HWFET
448,26.02,HWFET
449,26.02,HWFET
450,26.02,HWFET
451,25.97,HWFET
452,25.93,HWFET
453,25.93,HWFET
454,25.93,HWFET
455,25.93,HWFET
456,25.93,HWFET
457,25.93,HWFET
458,25.88,HWFET
459,25.88,HWFET
460,25.93,HWFET
461,25.97,HWFET
462,25.97,HWFET
463,26.02,HWFET
464,26.06,HWFET
465,26.06,HWFET
466,26.06,HWFET
467,26.02,HWFET
468,25.97,HWFET
469,25.93,HWFET
470,25.84,HWFET
471,25.70,HWFET
472,25.53,HWFET
473,25.48,HWFET
474,25.30,HWFET
475,25.08,HWFET
476,25.03,HWFET
477,24.94,HWFET
478,24.81,HWFET
479,24.68,HWFET
480,24.63,HWFET
481,24.59,HWFET
482,24.54,HWFET
483,24.54,HWFET
484,24.54,HWFET
485,24.54,HWFET
486,24.54,HWFET
487,24.54,HWFET
488,24.59,HWFET
489,24.59,HWFET
490,24.59,HWFET
491,24.59,HWFET
492,24.59,HWFET
493,24.59,HWFET
494,24.63,HWFET
495,24.63,HWFET
496,24.59,HWFET
497,24.54,HWFET
498,24.54,HWFET
499,24.50,HWFET
500,24.45,HWFET
501,24.41,HWFET
502,24.32,HWFET
503,24.27,HWFET
504,24.27,HWFET
505,24.23,HWFET
506,24.18,HWFET
507,24.18,HWFET
508,24.18,HWFET
509,24.14,HWFET
510,24.14,HWFET
511,24.14,HWFET
512,24.14,HWFET
513,24.14,HWFET
514,24.14,HWFET
515,24.14,HWFET
516,24.14,HWFET
517,24.18,HWFET
518,24.23,HWFET
519,24.36,HWFET
520,24.50,HWFET
521,24.54,HWFET
522,24.59,HWFET
