t,v,phase
0,0.00,low
1,0.00,low
2,0.00,low
3,0.00,low
4,0.00,low
5,0.00,low
6,0.00,low
7,0.00,low
8,0.00,low
9,0.00,low
10,0.00,low
11,0.00,low
12,0.06,low
13,0.47,low
14,1.50,low
15,2.75,low
16,3.64,low
17,4.69,low
18,6.03,low
19,7.22,low
20,7.64,low
21,7.81,low
22,7.86,low
23,8.00,low
24,8.08,low
25,8.56,low
26,8.86,low
27,9.47,low
28,10.17,low
29,10.86,low
30,11.47,low
31,11.81,low
32,12.03,low
33,12.19,low
34,12.33,low
35,12.36,low
36,12.28,low
37,11.86,low
38,11.08,low
39,10.28,low
40,9.61,low
41,8.97,low
42,8.06,low
43,6.97,low
44,6.17,low
45,5.81,low
46,5.67,low
47,5.42,low
48,5.11,low
49,4.94,low
50,4.94,low
51,4.83,low
52,4.36,low
53,3.64,low
54,3.36,low
55,3.33,low
56,3.33,low
57,3.33,low
58,3.42,low
59,3.50,low
60,4.08,low
61,4.25,low
62,4.42,low
63,4.50,low
64,4.75,low
65,4.94,low
66,5.03,low
67,5.11,low
68,5.64,low
69,6.44,low
70,7.36,low
71,8.28,low
72,9.06,low
73,9.56,low
74,9.86,low
75,10.11,low
76,10.39,low
77,10.69,low
78,10.92,low
79,10.97,low
80,10.83,low
81,10.69,low
82,10.36,low
83,10.28,low
84,10.19,low
85,9.97,low
86,9.81,low
87,9.61,low
88,9.50,low
89,8.86,low
90,7.58,low
91,6.11,low
92,4.72,low
93,3.94,low
94,3.33,low
95,2.53,low
96,1.61,low
97,1.00,low
98,0.61,low
99,0.00,low
100,0.00,low
101,0.00,low
102,0.00,low
103,0.00,low
104,0.00,low
105,0.00,low
106,0.00,low
107,0.00,low
108,0.00,low
109,0.00,low
110,0.00,low
111,0.00,low
112,0.00,low
113,0.00,low
114,0.00,low
115,0.00,low
116,0.00,low
117,0.00,low
118,0.00,low
119,0.00,low
120,0.00,low
121,0.00,low
122,0.00,low
123,0.00,low
124,0.00,low
125,0.00,low
126,0.00,low
127,0.00,low
128,0.00,low
129,0.00,low
130,0.00,low
131,0.00,low
132,0.00,low
133,0.00,low
134,0.00,low
135,0.00,low
136,0.00,low
137,0.00,low
138,0.06,low
139,0.53,low
140,1.69,low
141,3.25,low
142,4.56,low
143,5.25,low
144,5.53,low
145,5.78,low
146,6.33,low
147,7.06,low
148,7.69,low
149,8.11,low
150,8.28,low
151,8.17,low
152,7.56,low
153,6.28,low
154,4.81,low
155,3.69,low
156,3.33,low
157,3.50,low
158,3.92,low
159,4.78,low
160,5.58,low
161,6.50,low
162,7.08,low
163,7.67,low
164,8.19,low
165,8.64,low
166,8.92,low
167,9.22,low
168,9.78,low
169,10.33,low
170,10.56,low
171,10.39,low
172,9.75,low
173,8.61,low
174,7.53,low
175,7.03,low
176,6.97,low
177,7.19,low
178,7.72,low
179,8.11,low
180,8.22,low
181,8.19,low
182,8.11,low
183,7.86,low
184,7.25,low
185,6.56,low
186,5.83,low
187,5.25,low
188,4.75,low
189,4.36,low
190,4.03,low
191,3.81,low
192,3.58,low
193,3.47,low
194,3.39,low
195,3.33,low
196,3.33,low
197,3.33,low
198,3.33,low
199,3.47,low
200,3.61,low
201,3.89,low
202,4.17,low
203,4.58,low
204,5.28,low
205,5.89,low
206,6.61,low
207,7.47,low
208,8.22,low
209,8.89,low
210,9.78,low
211,10.42,low
212,10.89,low
213,11.25,low
214,11.56,low
215,11.97,low
216,12.50,low
217,13.08,low
218,13.61,low
219,14.06,low
220,14.39,low
221,14.64,low
222,14.75,low
223,14.86,low
224,14.94,low
225,15.06,low
226,15.22,low
227,15.36,low
228,15.50,low
229,15.61,low
230,15.69,low
231,15.69,low
232,15.61,low
233,15.25,low
234,14.69,low
235,14.17,low
236,13.83,low
237,13.67,low
238,13.44,low
