"size_code","width_mm","aspect_ratio_pct","rim_in","unloaded_diameter_mm","unloaded_radius_mm","unloaded_circumference_mm","dynamic_factor","expected_rolling_radius_mm","expected_effective_circumference_mm","source","notes"
"125/75R10","125","75","10","441.5","220.75","1387.013","0.97","214.128","1345.403","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"125/75R12","125","75","12","492.3","246.15","1546.606","0.97","238.766","1500.208","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"125/75R13","125","75","13","517.7","258.85","1626.403","0.97","251.085","1577.61","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"125/75R14","125","75","14","543.1","271.55","1706.199","0.97","263.404","1655.013","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"125/75R15","125","75","15","568.5","284.25","1785.995","0.97","275.723","1732.416","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"125/75R16","125","75","16","593.9","296.95","1865.792","0.97","288.042","1809.818","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"125/80R10","125","80","10","454","227","1426.283","0.97","220.19","1383.495","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"125/80R12","125","80","12","504.8","252.4","1585.876","0.97","244.828","1538.3","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"125/80R13","125","80","13","530.2","265.1","1665.672","0.97","257.147","1615.702","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"125/80R14","125","80","14","555.6","277.8","1745.469","0.97","269.466","1693.105","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
"125/80R15","125","80","15","581","290.5","1825.265","0.97","281.785","1770.507","geometric_estimate","Nominal geometry estimate with explicit dynamic factor; not measured or certified tire data."
