etw_lb,inertia_class_lb,etw_kg,inertia_class_kg
1000,1000,453.6,453.6
1125,1000,510.3,453.6
1250,1250,567.0,567.0
1375,1250,623.7,567.0
1500,1500,680.4,680.4
1625,1500,737.1,680.4
1750,1750,793.8,793.8
1875,1750,850.5,793.8
2000,2000,907.2,907.2
2125,2000,963.9,907.2
2250,2250,1020.6,1020.6
2375,2250,1077.3,1020.6
2500,2500,1134.0,1134.0
2625,2500,1190.7,1134.0
2750,2750,1247.4,1247.4
2875,2750,1304.1,1247.4
3000,3000,1360.8,1360.8
3125,3000,1417.5,1360.8
3250,3000,1474.2,1360.8
3375,3500,1530.9,1587.6
3500,3500,1587.6,1587.6
3625,3500,1644.3,1587.6
3750,3500,1701.0,1587.6
3875,4000,1757.7,1814.4
4000,4000,1814.4,1814.4
4250,4000,1927.8,1814.4
4500,4500,2041.2,2041.2
4750,4500,2154.6,2041.2
5000,5000,2268.0,2268.0
5250,5000,2381.4,2268.0
5500,5500,2494.8,2494.8
6000,6000,2721.6,2721.6
6500,6500,2948.4,2948.4
7000,7000,3175.1,3175.1
7500,7500,3401.9,3401.9
8000,8000,3628.7,3628.7
8500,8500,3855.5,3855.5
9000,9000,4082.3,4082.3
9500,9500,4309.1,4309.1
10000,10000,4535.9,4535.9
10500,10500,4762.7,4762.7
11000,11000,4989.5,4989.5
11500,11500,5216.3,5216.3
12000,12000,5443.1,5443.1
12500,12500,5669.9,5669.9
13000,13000,5896.7,5896.7
13500,13500,6123.5,6123.5
14000,14000,6350.3,6350.3
