Medida,Des. (mm)
125/75R10,1348
125/75R12,1504
125/75R13,1580
125/75R14,1659
125/75R15,1735
125/75R16,1812
125/80R10,1385
125/80R12,1540
125/80R13,1617
125/80R14,1696
125/80R15,1772
125/80R16,1848
135/65R12,1467
135/65R13,1543
135/65R14,1623
135/65R15,1699
135/65R16,1775
135/65R17,1854
135/70R10,1354
135/70R12,1510
135/70R13,1586
135/70R14,1665
135/70R15,1742
135/70R16,1818
135/75R10,1391
135/75R12,1546
135/75R13,1623
135/75R14,1702
135/75R15,1778
135/75R16,1854
135/80R10,1434
135/80R12,1589
135/80R13,1665
135/80R14,1745
135/80R15,1821
135/80R16,1897
145/65R12,1504
145/65R13,1580
145/65R14,1659
145/65R15,1735
145/65R16,1812
145/65R17,1891
145/70R10,1397
145/70R12,1552
145/70R13,1629
145/70R14,1708
145/70R15,1784
145/70R16,1861
145/75R10,1440
145/75R12,1595
145/75R13,1671
145/75R14,1751
145/75R15,1827
145/75R16,1903
145/80R10,1482
145/80R12,1638
145/80R13,1714
145/80R14,1793
145/80R15,1870
145/80R16,1946
155/60R12,1498
155/60R13,1574
155/60R14,1653
155/60R15,1729
155/60R16,1806
155/60R17,1885
155/65R12,1546
155/65R13,1623
155/65R14,1702
155/65R15,1778
155/65R16,1854
155/65R17,1934
155/70R10,1440
155/70R12,1595
155/70R13,1671
155/70R14,1751
155/70R15,1827
155/70R16,1903
155/75R10,1482
155/75R12,1638
155/75R13,1714
155/75R14,1793
155/75R15,1870
155/75R16,1946
155/80R10,1531
155/80R12,1687
155/80R13,1763
155/80R14,1842
155/80R15,1918
155/80R16,1995
165/55R14,1641
165/55R15,1717
165/55R16,1793
165/55R17,1873
165/55R18,1949
165/55R19,2028
165/60R12,1534
165/60R13,1610
165/60R14,1690
165/60R15,1766
165/60R16,1842
165/60R17,1922
165/65R12,1583
165/65R13,1659
165/65R14,1739
165/65R15,1815
165/65R16,1891
165/65R17,1970
165/70R10,1482
165/70R12,1638
165/70R13,1714
165/70R14,1793
165/70R15,1870
165/70R16,1946
165/75R10,1531
165/75R12,1687
165/75R13,1763
165/75R14,1842
165/75R15,1918
165/75R16,1995
165/80R10,1580
165/80R12,1735
165/80R13,1812
165/80R14,1891
165/80R15,1967
165/80R16,2044
175/50R13,1543
175/50R14,1623
175/50R15,1699
175/50R16,1775
175/50R17,1854
175/50R18,1931
175/55R14,1671
175/55R15,1748
175/55R16,1824
175/55R17,1903
175/55R18,1979
175/55R19,2059
175/60R12,1571
175/60R13,1647
175/60R14,1726
175/60R15,1803
175/60R16,1879
175/60R17,1958
175/65R12,1626
175/65R13,1702
175/65R14,1781
175/65R15,1857
175/65R16,1934
175/65R17,2013
175/70R10,1525
175/70R12,1681
175/70R13,1757
175/70R14,1836
175/70R15,1912
175/70R16,1989
175/75R10,1574
175/75R12,1729
175/75R13,1806
175/75R14,1885
175/75R15,1961
175/75R16,2037
175/80R10,1629
175/80R12,1784
175/80R13,1861
175/80R14,1940
175/80R15,2016
175/80R16,2092
185/50R13,1574
185/50R14,1653
185/50R15,1729
185/50R16,1806
185/50R17,1885
185/50R18,1961
185/55R14,1708
185/55R15,1784
185/55R16,1861
185/55R17,1940
185/55R18,2016
185/55R19,2095
185/60R12,1607
185/60R13,1684
185/60R14,1763
185/60R15,1839
